1,1,32,406465,1000,10000,0,2013,0,54,467,0.4026,565248
1,1,32,784466,2000,10000,0,4027,0,108,467,0.8054,1089536
1,1,32,1168605,3000,10000,0,6050,0,163,471,1.21,1630208
1,1,32,1548599,4000,10000,0,8054,0,217,472,1.6108,2179072
1,1,32,2236005,5000,10000,0,10051,0,272,498,2.0102,2727936
2,1,32,360694,1000,10000,1092,1992,0,45,453,0.3984,634880
2,1,32,735066,2000,10000,2191,3994,0,92,475,0.7988,1249280
2,1,32,1080333,3000,10000,3296,6018,0,138,477,1.2036,1855488
2,1,32,1444492,4000,10000,4412,8013,0,184,468,1.6026,2457600
2,1,32,1794906,5000,10000,5491,10017,0,231,468,2.0034,3100672
3,1,32,477149,1000,10000,0,1951,0,59,462,0.3902,577536
3,1,32,952661,2000,10000,0,3927,0,118,470,0.7854,1138688
3,1,32,1421321,3000,10000,0,5918,0,177,467,1.1836,1679360
3,1,32,1924114,4000,10000,0,7943,0,238,472,1.5886,2265088
3,1,32,2369642,5000,10000,0,9892,0,297,466,1.9784,2822144
4,1,32,462883,1000,10000,1106,2014,0,52,480,0.4028,679936
4,1,32,914963,2000,10000,2187,3990,0,103,470,0.798,1314816
4,1,32,1353530,3000,10000,3263,5953,0,154,479,1.1906,1916928
4,1,32,1817831,4000,10000,4314,7959,0,207,466,1.5918,2572288
4,1,32,2284721,5000,10000,5430,9956,0,258,461,1.9912,3264512
5,1,32,335170,1000,10000,0,999,969,45,506,0.3936,430080
5,1,32,653374,2000,10000,0,1917,1984,90,512,0.7802,798720
5,1,32,984402,3000,10000,0,2920,3011,136,505,1.1862,1191936
5,1,32,1326122,4000,10000,0,4011,3984,183,508,1.599,1597440
5,1,32,1651970,5000,10000,0,4966,5016,228,511,1.9964,1986560
6,1,32,267341,1000,10000,1117,1117,877,51,539,0.3988,499712
6,1,32,516656,2000,10000,2200,2200,1777,103,560,0.7954,929792
6,1,32,769536,3000,10000,3254,3254,2644,153,658,1.1796,1384448
6,1,32,1045028,4000,10000,4342,4342,3549,205,660,1.5782,1830912
6,1,32,1291866,5000,10000,5447,5447,4450,257,736,1.9794,2297856
1,2,32,2453107,1000,10000,0,1971,0,83,2791,0.3942,720896
1,2,32,4924297,2000,10000,0,3973,0,167,2867,0.7946,1396736
1,2,32,7449194,3000,10000,0,5966,0,251,2864,1.1932,2117632
1,2,32,9978970,4000,10000,0,7931,0,334,2867,1.5862,2801664
1,2,32,12407282,5000,10000,0,9899,0,417,2771,1.9798,3510272
2,2,32,2368423,1000,10000,1129,2007,0,60,2803,0.4014,1044480
2,2,32,4755856,2000,10000,2244,4010,0,121,2791,0.802,2080768
2,2,32,7139269,3000,10000,3388,6010,0,182,2811,1.202,3100672
2,2,32,9637789,4000,10000,4555,8018,0,244,2825,1.6036,4083712
2,2,32,11959505,5000,10000,5708,10063,0,306,2804,2.0126,5169152
3,2,32,2910721,1000,10000,0,1988,0,83,2800,0.3976,724992
3,2,32,5845600,2000,10000,0,4003,0,168,2842,0.8006,1392640
3,2,32,8739986,3000,10000,0,6049,0,254,2807,1.2098,2138112
3,2,32,11688813,4000,10000,0,8019,0,337,2878,1.6038,2834432
3,2,32,14578090,5000,10000,0,10019,0,421,2848,2.0038,3530752
4,2,32,2765724,1000,10000,1101,1962,0,59,2805,0.3924,1036288
4,2,32,5602998,2000,10000,2216,3939,0,120,2825,0.7878,2052096
4,2,32,8348574,3000,10000,3327,5958,0,181,2839,1.1916,3035136
4,2,32,11299516,4000,10000,4465,8007,0,242,2785,1.6014,4079616
4,2,32,14176846,5000,10000,5601,10061,0,304,2810,2.0122,5173248
5,2,32,2149371,1000,10000,0,1009,1008,84,2549,0.4034,757760
5,2,32,4261516,2000,10000,0,1972,2051,169,2637,0.8046,1437696
5,2,32,6456439,3000,10000,0,2977,3051,253,2532,1.2056,2150400
5,2,32,8515441,4000,10000,0,3988,4040,337,2535,1.6056,2863104
5,2,32,10732675,5000,10000,0,5030,5019,422,2597,2.0098,3588096
6,2,32,2084932,1000,10000,1118,1118,907,74,2910,0.405,897024
6,2,32,4190898,2000,10000,2239,2239,1777,147,3020,0.8032,1712128
6,2,32,6336544,3000,10000,3383,3383,2631,221,2994,1.2028,2592768
6,2,32,8439902,4000,10000,4506,4506,3530,295,3102,1.6072,3424256
6,2,32,10426763,5000,10000,5602,5602,4439,368,2999,2.0082,4259840
